,ACCIDENT_NO,ATMOSPH_COND,ATMOSPH_COND_SEQ,Atmosph Cond Desc
144386,T20160001834,1,1,Clear
144387,T20160001836,1,1,Clear
144388,T20160001838,1,1,Clear
144389,T20160001842,1,0,Clear
144391,T20160001847,1,1,Clear
144392,T20160001848,2,1,Raining
144393,T20160001849,1,0,Clear
144394,T20160001850,1,0,Clear
144395,T20160001852,1,1,Clear
144396,T20160001853,1,1,Clear
144398,T20160001858,9,1,Not known
144399,T20160001861,1,1,Clear
144401,T20160001863,1,1,Clear
144402,T20160001864,1,0,Clear
144403,T20160001865,1,1,Clear
144404,T20160001869,1,0,Clear
144405,T20160001870,1,1,Clear
144406,T20160001871,1,0,Clear
144407,T20160001872,1,1,Clear
144408,T20160001873,1,1,Clear
144409,T20160001874,1,1,Clear
144410,T20160001875,1,1,Clear
144411,T20160001875,7,2,Strong winds
144412,T20160001876,1,1,Clear
144413,T20160001878,1,1,Clear
144414,T20160001879,1,1,Clear
144415,T20160001880,1,1,Clear
144416,T20160001882,1,1,Clear
144417,T20160001884,1,0,Clear
144418,T20160001885,1,0,Clear
144420,T20160001890,1,0,Clear
144421,T20160001891,1,0,Clear
144422,T20160001892,9,1,Not known
144423,T20160001893,1,1,Clear
144424,T20160001895,1,1,Clear
144425,T20160001896,2,1,Raining
144426,T20160001897,1,1,Clear
144427,T20160001898,1,0,Clear
144428,T20160001900,1,1,Clear
144429,T20160001902,2,1,Raining
144430,T20160001905,1,1,Clear
144431,T20160001906,1,1,Clear
144432,T20160001910,1,1,Clear
144433,T20160001911,9,1,Not known
144434,T20160001918,1,0,Clear
144435,T20160001919,1,1,Clear
144436,T20160001920,1,0,Clear
144437,T20160001922,1,0,Clear
144438,T20160001924,1,1,Clear
144439,T20160001926,1,1,Clear
144440,T20160001927,1,1,Clear
144442,T20160001930,1,1,Clear
144443,T20160001931,2,1,Raining
144444,T20160001932,1,1,Clear
144445,T20160001934,9,0,Not known
144446,T20160001936,2,1,Raining
144447,T20160001939,1,1,Clear
144448,T20160001941,1,1,Clear
144449,T20160001942,1,0,Clear
144450,T20160001944,1,1,Clear
144451,T20160001945,1,1,Clear
144453,T20160001947,1,1,Clear
144454,T20160001949,1,1,Clear
144455,T20160001950,1,1,Clear
144456,T20160001951,9,1,Not known
144457,T20160001952,1,0,Clear
144458,T20160001953,1,1,Clear
144459,T20160001954,1,1,Clear
144460,T20160001955,1,1,Clear
144461,T20160001956,2,1,Raining
144462,T20160001958,2,0,Raining
144463,T20160001961,1,1,Clear
144464,T20160001962,1,1,Clear
144466,T20160001964,1,1,Clear
144467,T20160001965,2,0,Raining
144468,T20160001966,9,1,Not known
144469,T20160001967,1,1,Clear
144470,T20160001968,1,0,Clear
144471,T20160001969,1,1,Clear
144472,T20160001970,1,0,Clear
144473,T20160001972,1,1,Clear
144474,T20160001973,1,0,Clear
144475,T20160001977,9,1,Not known
144476,T20160001978,1,1,Clear
144477,T20160001979,9,1,Not known
144478,T20160001980,1,1,Clear
144479,T20160001981,1,1,Clear
144480,T20160001982,1,1,Clear
144481,T20160001983,1,1,Clear
144482,T20160001984,2,1,Raining
144483,T20160001986,1,1,Clear
144484,T20160001987,1,1,Clear
144485,T20160001988,2,1,Raining
144486,T20160001990,1,0,Clear
144487,T20160001991,1,1,Clear
144488,T20160001995,2,0,Raining
144489,T20160001996,9,1,Not known
144490,T20160001997,2,2,Raining
144491,T20160001997,4,1,Fog
144492,T20160002000,2,1,Raining
144493,T20160002002,2,1,Raining
144494,T20160002005,1,1,Clear
144495,T20160002007,2,0,Raining
144496,T20160002008,2,1,Raining
144497,T20160002010,9,1,Not known
144498,T20160002011,2,1,Raining
144499,T20160002012,2,1,Raining
144501,T20160002014,1,1,Clear
144502,T20160002015,1,1,Clear
144503,T20160002016,2,1,Raining
144504,T20160002023,1,1,Clear
144505,T20160002024,9,1,Not known
144506,T20160002025,1,1,Clear
144507,T20160002026,1,1,Clear
144508,T20160002027,2,1,Raining
144509,T20160002029,2,1,Raining
144510,T20160002030,1,0,Clear
144511,T20160002031,2,1,Raining
144512,T20160002032,1,1,Clear
144513,T20160002034,1,1,Clear
144514,T20160002035,2,0,Raining
144515,T20160002036,1,1,Clear
144516,T20160002037,2,1,Raining
144517,T20160002039,2,0,Raining
144518,T20160002041,1,1,Clear
144520,T20160002043,1,1,Clear
144521,T20160002044,1,0,Clear
144522,T20160002047,2,1,Raining
144523,T20160002048,2,1,Raining
144524,T20160002049,1,1,Clear
144525,T20160002050,1,1,Clear
144526,T20160002051,1,1,Clear
144527,T20160002052,1,1,Clear
144528,T20160002054,1,1,Clear
144529,T20160002057,1,1,Clear
144530,T20160002058,1,1,Clear
144532,T20160002063,2,0,Raining
144533,T20160002065,2,2,Raining
144534,T20160002065,4,1,Fog
144535,T20160002067,1,1,Clear
144536,T20160002069,1,1,Clear
144537,T20160002072,1,0,Clear
144538,T20160002073,1,1,Clear
144539,T20160002074,4,1,Fog
144540,T20160002076,1,1,Clear
144541,T20160002077,1,1,Clear
144543,T20160002079,1,1,Clear
144544,T20160002080,2,1,Raining
144545,T20160002081,1,1,Clear
144546,T20160002085,2,0,Raining
144547,T20160002086,1,0,Clear
144548,T20160002087,1,0,Clear
144549,T20160002089,1,1,Clear
144550,T20160002090,1,1,Clear
144551,T20160002091,1,0,Clear
144553,T20160002093,9,1,Not known
144554,T20160002095,1,1,Clear
144555,T20160002097,1,1,Clear
144556,T20160002098,1,1,Clear
144558,T20160002104,1,1,Clear
144559,T20160002109,1,1,Clear
144560,T20160002110,1,1,Clear
144561,T20160002114,1,1,Clear
144562,T20160002116,1,1,Clear
144563,T20160002117,1,1,Clear
144564,T20160002118,1,0,Clear
144565,T20160002119,1,1,Clear
144566,T20160002120,1,1,Clear
144567,T20160002122,1,0,Clear
144568,T20160002125,2,1,Raining
144570,T20160002127,1,1,Clear
144571,T20160002129,1,1,Clear
144572,T20160002133,2,1,Raining
144573,T20160002135,1,1,Clear
144576,T20160002140,2,1,Raining
144577,T20160002141,2,1,Raining
144578,T20160002142,1,0,Clear
144579,T20160002143,1,0,Clear
144580,T20160002144,1,0,Clear
144581,T20160002145,2,0,Raining
144582,T20160002147,1,1,Clear
144583,T20160002151,1,0,Clear
144584,T20160002155,1,0,Clear
144585,T20160002158,2,0,Raining
144586,T20160002159,2,0,Raining
144587,T20160002160,1,1,Clear
144588,T20160002161,1,1,Clear
144589,T20160002162,1,0,Clear
144590,T20160002164,1,0,Clear
144591,T20160002167,1,1,Clear
144592,T20160002168,1,1,Clear
144593,T20160002169,1,1,Clear
144594,T20160002171,1,1,Clear
144595,T20160002174,1,1,Clear
144596,T20160002175,1,1,Clear
144597,T20160002176,1,1,Clear
144598,T20160002178,1,1,Clear
144599,T20160002182,1,1,Clear
144600,T20160002184,2,0,Raining
144601,T20160002187,1,1,Clear
144602,T20160002191,1,0,Clear
144603,T20160002192,1,1,Clear
144604,T20160002193,1,0,Clear
144605,T20160002194,1,0,Clear
144606,T20160002196,1,1,Clear
144607,T20160002197,9,1,Not known
144608,T20160002203,1,1,Clear
144609,T20160002207,1,1,Clear
144610,T20160002208,1,1,Clear
144611,T20160002209,1,0,Clear
144612,T20160002211,1,0,Clear
144613,T20160002212,1,1,Clear
144615,T20160002214,1,1,Clear
144617,T20160002220,1,1,Clear
144618,T20160002222,1,1,Clear
144619,T20160002223,1,0,Clear
144620,T20160002224,1,1,Clear
144621,T20160002225,1,1,Clear
144622,T20160002229,1,0,Clear
144623,T20160002231,1,0,Clear
144624,T20160002233,9,1,Not known
144625,T20160002234,1,1,Clear
144626,T20160002235,1,1,Clear
144627,T20160002236,9,1,Not known
144628,T20160002238,9,1,Not known
144629,T20160002243,9,1,Not known
144630,T20160002244,1,0,Clear
144631,T20160002245,1,0,Clear
144632,T20160002247,1,1,Clear
144633,T20160002248,1,1,Clear
144634,T20160002249,1,1,Clear
144635,T20160002250,1,1,Clear
144636,T20160002251,1,1,Clear
144637,T20160002253,1,1,Clear
144638,T20160002255,1,1,Clear
144639,T20160002257,1,1,Clear
144640,T20160002258,1,1,Clear
144641,T20160002263,1,1,Clear
144642,T20160002265,1,1,Clear
144644,T20160002268,1,1,Clear
144645,T20160002271,1,1,Clear
144647,T20160002276,1,1,Clear
144648,T20160002277,1,1,Clear
144649,T20160002278,1,1,Clear
144650,T20160002281,1,1,Clear
144651,T20160002282,9,0,Not known
144652,T20160002283,1,1,Clear
144653,T20160002285,1,0,Clear
144654,T20160002288,1,1,Clear
144655,T20160002291,1,1,Clear
144656,T20160002293,1,1,Clear
144657,T20160002294,1,1,Clear
144658,T20160002295,1,1,Clear
144659,T20160002296,1,1,Clear
144660,T20160002300,1,1,Clear
144661,T20160002305,1,1,Clear
144662,T20160002308,1,1,Clear
144663,T20160002314,1,1,Clear
144664,T20160002315,1,0,Clear
144665,T20160002316,9,1,Not known
144666,T20160002317,1,0,Clear
144668,T20160002321,1,1,Clear
144669,T20160002324,1,1,Clear
144670,T20160002325,1,1,Clear
144671,T20160002326,1,1,Clear
144672,T20160002327,1,1,Clear
144673,T20160002332,1,1,Clear
144674,T20160002334,1,0,Clear
144675,T20160002335,1,1,Clear
144676,T20160002337,1,1,Clear
144677,T20160002339,1,1,Clear
144678,T20160002341,9,1,Not known
144679,T20160002342,1,1,Clear
144680,T20160002343,1,1,Clear
144681,T20160002347,9,1,Not known
144682,T20160002349,1,1,Clear
144683,T20160002350,1,1,Clear
144684,T20160002353,2,0,Raining
144685,T20160002355,9,1,Not known
144686,T20160002358,1,0,Clear
