,ACCIDENT_NO,ATMOSPH_COND,ATMOSPH_COND_SEQ,Atmosph Cond Desc
147893,T20160007899,1,1,Clear
147894,T20160007900,1,0,Clear
147895,T20160007902,1,1,Clear
147896,T20160007903,9,1,Not known
147897,T20160007904,1,1,Clear
147898,T20160007905,1,1,Clear
147899,T20160007906,1,1,Clear
147900,T20160007907,2,1,Raining
147901,T20160007909,9,0,Not known
147902,T20160007912,1,1,Clear
147904,T20160007914,1,1,Clear
147905,T20160007917,1,0,Clear
147907,T20160007922,9,1,Not known
147908,T20160007923,1,1,Clear
147909,T20160007924,1,0,Clear
147910,T20160007925,1,1,Clear
147911,T20160007926,1,1,Clear
147912,T20160007927,1,1,Clear
147913,T20160007928,1,1,Clear
147914,T20160007929,1,0,Clear
147915,T20160007930,1,1,Clear
147916,T20160007931,1,1,Clear
147917,T20160007935,1,1,Clear
147918,T20160007937,1,1,Clear
147919,T20160007938,1,0,Clear
147920,T20160007939,2,0,Raining
147921,T20160007940,1,1,Clear
147922,T20160007948,1,1,Clear
147923,T20160007951,1,1,Clear
147924,T20160007952,2,1,Raining
147925,T20160007953,1,1,Clear
147926,T20160007955,1,0,Clear
147927,T20160007956,1,1,Clear
147928,T20160007958,1,0,Clear
147929,T20160007959,9,1,Not known
147930,T20160007960,1,1,Clear
147931,T20160007961,1,0,Clear
147932,T20160007965,1,0,Clear
147933,T20160007967,1,0,Clear
147934,T20160007968,1,0,Clear
147935,T20160007970,2,1,Raining
147936,T20160007976,2,1,Raining
147937,T20160007977,2,1,Raining
147938,T20160007978,9,1,Not known
147939,T20160007979,1,0,Clear
147940,T20160007980,9,0,Not known
147941,T20160007983,1,1,Clear
147942,T20160007984,1,1,Clear
147943,T20160007985,1,0,Clear
147944,T20160007987,1,1,Clear
147945,T20160007989,9,0,Not known
147946,T20160007990,1,0,Clear
147947,T20160007991,1,1,Clear
147948,T20160007992,1,1,Clear
147949,T20160007995,1,0,Clear
147950,T20160007996,2,1,Raining
147951,T20160007997,1,1,Clear
147952,T20160007998,1,1,Clear
147953,T20160008000,1,1,Clear
147954,T20160008001,1,1,Clear
147955,T20160008002,1,1,Clear
147956,T20160008004,1,1,Clear
147957,T20160008006,1,1,Clear
147958,T20160008007,1,0,Clear
147959,T20160008008,1,1,Clear
147960,T20160008010,2,1,Raining
147961,T20160008011,1,1,Clear
147962,T20160008012,1,1,Clear
147963,T20160008014,1,1,Clear
147964,T20160008015,1,1,Clear
147965,T20160008016,1,1,Clear
147966,T20160008017,1,0,Clear
147967,T20160008018,1,1,Clear
147968,T20160008019,1,1,Clear
147969,T20160008020,1,0,Clear
147970,T20160008025,1,1,Clear
147971,T20160008026,1,1,Clear
147972,T20160008027,1,0,Clear
147973,T20160008029,4,1,Fog
147974,T20160008030,1,1,Clear
147975,T20160008032,9,1,Not known
147976,T20160008033,1,1,Clear
147977,T20160008034,1,1,Clear
147978,T20160008035,1,0,Clear
147979,T20160008036,1,1,Clear
147980,T20160008038,1,1,Clear
147981,T20160008042,1,0,Clear
147982,T20160008044,1,1,Clear
147983,T20160008045,9,1,Not known
147984,T20160008046,1,1,Clear
147985,T20160008047,9,0,Not known
147986,T20160008050,1,1,Clear
147987,T20160008051,1,1,Clear
147988,T20160008053,1,1,Clear
147989,T20160008055,1,1,Clear
147990,T20160008056,9,1,Not known
147991,T20160008057,1,1,Clear
147992,T20160008060,1,1,Clear
147993,T20160008061,1,1,Clear
147994,T20160008062,1,1,Clear
147995,T20160008063,2,0,Raining
147996,T20160008064,1,0,Clear
147997,T20160008065,2,1,Raining
147998,T20160008067,1,1,Clear
147999,T20160008068,1,1,Clear
148000,T20160008069,1,1,Clear
148001,T20160008071,1,1,Clear
148002,T20160008072,1,1,Clear
148003,T20160008075,1,1,Clear
148004,T20160008076,1,0,Clear
148005,T20160008077,1,1,Clear
148006,T20160008080,1,1,Clear
148007,T20160008083,1,1,Clear
148008,T20160008086,1,1,Clear
148009,T20160008087,2,1,Raining
148010,T20160008090,1,1,Clear
148011,T20160008091,1,1,Clear
148012,T20160008092,1,0,Clear
148013,T20160008093,1,1,Clear
148014,T20160008094,2,0,Raining
148015,T20160008096,9,1,Not known
148016,T20160008097,1,1,Clear
148017,T20160008098,1,1,Clear
148018,T20160008102,1,1,Clear
148019,T20160008103,1,1,Clear
148020,T20160008104,1,0,Clear
148021,T20160008105,1,0,Clear
148022,T20160008106,1,1,Clear
148023,T20160008108,1,0,Clear
148024,T20160008109,1,1,Clear
148025,T20160008110,1,0,Clear
148026,T20160008114,1,1,Clear
148027,T20160008115,1,1,Clear
148028,T20160008120,1,1,Clear
148029,T20160008122,1,0,Clear
148030,T20160008125,1,1,Clear
148031,T20160008128,1,1,Clear
148032,T20160008131,1,1,Clear
148033,T20160008136,1,0,Clear
148034,T20160008139,1,0,Clear
148035,T20160008140,1,1,Clear
148036,T20160008141,1,1,Clear
148037,T20160008142,9,1,Not known
148039,T20160008146,1,1,Clear
148040,T20160008148,1,1,Clear
148041,T20160008151,1,1,Clear
148042,T20160008153,1,1,Clear
148043,T20160008154,1,1,Clear
148044,T20160008155,1,1,Clear
148045,T20160008156,1,1,Clear
148046,T20160008158,1,0,Clear
148047,T20160008159,9,0,Not known
148048,T20160008160,1,1,Clear
148049,T20160008161,1,1,Clear
148051,T20160008164,9,1,Not known
148052,T20160008165,1,1,Clear
148053,T20160008169,1,1,Clear
148054,T20160008171,1,0,Clear
148055,T20160008172,1,1,Clear
148056,T20160008173,1,1,Clear
148057,T20160008178,1,1,Clear
148058,T20160008179,1,0,Clear
148059,T20160008180,1,0,Clear
148060,T20160008181,1,0,Clear
148061,T20160008182,1,0,Clear
148062,T20160008183,1,1,Clear
148063,T20160008185,1,1,Clear
148064,T20160008186,1,1,Clear
148065,T20160008188,1,0,Clear
148066,T20160008189,1,1,Clear
148067,T20160008191,1,1,Clear
148068,T20160008193,1,1,Clear
148069,T20160008195,1,0,Clear
148070,T20160008197,1,1,Clear
148071,T20160008198,1,0,Clear
148072,T20160008199,1,1,Clear
148073,T20160008200,2,1,Raining
148074,T20160008201,1,1,Clear
148075,T20160008202,1,0,Clear
148076,T20160008203,1,1,Clear
148077,T20160008204,9,1,Not known
148078,T20160008205,5,1,Smoke
148079,T20160008206,1,0,Clear
148080,T20160008207,1,1,Clear
148081,T20160008208,1,1,Clear
148082,T20160008209,9,1,Not known
148083,T20160008211,1,1,Clear
148084,T20160008212,1,1,Clear
148085,T20160008214,9,1,Not known
148086,T20160008215,1,1,Clear
148087,T20160008218,1,1,Clear
148088,T20160008220,1,1,Clear
148089,T20160008221,1,1,Clear
148090,T20160008224,9,1,Not known
148091,T20160008225,1,1,Clear
148092,T20160008226,1,1,Clear
148093,T20160008227,1,1,Clear
148094,T20160008228,9,1,Not known
148095,T20160008230,1,0,Clear
148096,T20160008231,1,0,Clear
148097,T20160008234,1,1,Clear
148098,T20160008235,1,1,Clear
148099,T20160008236,1,1,Clear
148100,T20160008238,1,0,Clear
148101,T20160008239,1,1,Clear
148102,T20160008241,1,0,Clear
148103,T20160008243,1,1,Clear
148104,T20160008244,1,1,Clear
148105,T20160008245,1,0,Clear
148106,T20160008247,1,1,Clear
148107,T20160008254,1,1,Clear
148108,T20160008255,1,1,Clear
148109,T20160008256,1,0,Clear
148110,T20160008257,1,1,Clear
148111,T20160008258,1,1,Clear
148112,T20160008262,1,0,Clear
148113,T20160008263,1,1,Clear
148114,T20160008264,1,1,Clear
148115,T20160008265,1,0,Clear
148116,T20160008267,1,1,Clear
148117,T20160008268,1,1,Clear
148118,T20160008270,1,1,Clear
148119,T20160008273,9,1,Not known
148120,T20160008276,1,1,Clear
148121,T20160008278,1,0,Clear
148122,T20160008279,1,0,Clear
148123,T20160008280,1,1,Clear
148124,T20160008285,9,1,Not known
148125,T20160008287,1,0,Clear
148126,T20160008288,2,0,Raining
148127,T20160008290,1,1,Clear
148128,T20160008292,1,1,Clear
148129,T20160008294,9,1,Not known
148130,T20160008295,1,1,Clear
148131,T20160008296,9,0,Not known
148132,T20160008297,1,1,Clear
148133,T20160008298,1,1,Clear
148134,T20160008299,1,1,Clear
148135,T20160008300,1,1,Clear
148136,T20160008301,1,1,Clear
148137,T20160008303,1,1,Clear
148138,T20160008304,1,0,Clear
148139,T20160008308,2,1,Raining
148140,T20160008310,1,1,Clear
148141,T20160008313,1,0,Clear
148142,T20160008315,9,1,Not known
148143,T20160008316,9,1,Not known
148144,T20160008317,1,1,Clear
148145,T20160008322,1,1,Clear
148146,T20160008323,1,1,Clear
148147,T20160008324,9,0,Not known
148148,T20160008329,1,1,Clear
148149,T20160008332,2,1,Raining
148150,T20160008334,1,0,Clear
148151,T20160008336,2,1,Raining
148152,T20160008338,1,0,Clear
148153,T20160008339,1,1,Clear
148154,T20160008342,1,1,Clear
148155,T20160008344,1,1,Clear
148156,T20160008345,1,1,Clear
148157,T20160008346,1,0,Clear
148158,T20160008347,1,1,Clear
148159,T20160008348,1,1,Clear
148160,T20160008351,2,1,Raining
148161,T20160008352,1,0,Clear
148162,T20160008355,1,1,Clear
148163,T20160008357,1,1,Clear
148164,T20160008358,1,1,Clear
148165,T20160008359,1,0,Clear
148166,T20160008360,1,1,Clear
148167,T20160008361,1,1,Clear
148168,T20160008364,1,1,Clear
148169,T20160008366,1,0,Clear
148170,T20160008367,9,1,Not known
148171,T20160008368,1,0,Clear
148172,T20160008370,1,1,Clear
148173,T20160008371,1,1,Clear
148174,T20160008374,1,1,Clear
148175,T20160008375,1,1,Clear
148176,T20160008376,1,1,Clear
148177,T20160008378,1,0,Clear
148178,T20160008381,1,1,Clear
148179,T20160008383,1,0,Clear
148180,T20160008390,1,1,Clear
148181,T20160008392,1,1,Clear
148182,T20160008394,1,1,Clear
148183,T20160008398,1,1,Clear
148184,T20160008399,1,1,Clear
148185,T20160008401,1,1,Clear
148186,T20160008402,1,0,Clear
148187,T20160008403,1,0,Clear
148188,T20160008404,1,1,Clear
148189,T20160008409,1,0,Clear
148190,T20160008410,5,1,Smoke
148191,T20160008411,1,1,Clear
148192,T20160008412,1,1,Clear
148193,T20160008415,1,1,Clear
148194,T20160008417,1,1,Clear
148195,T20160008418,1,0,Clear
148196,T20160008422,1,0,Clear
148197,T20160008423,1,0,Clear
148198,T20160008424,1,1,Clear
148199,T20160008425,1,1,Clear
148200,T20160008426,1,1,Clear
148201,T20160008427,1,0,Clear
148202,T20160008428,1,1,Clear
148204,T20160008430,1,0,Clear
148205,T20160008431,1,0,Clear
148206,T20160008433,1,0,Clear
148207,T20160008435,1,1,Clear
148208,T20160008436,9,1,Not known
148209,T20160008438,1,1,Clear
148210,T20160008439,9,1,Not known
148211,T20160008441,1,1,Clear
148212,T20160008443,1,1,Clear
148213,T20160008444,1,0,Clear
148214,T20160008445,1,1,Clear
148215,T20160008447,1,1,Clear
148216,T20160008453,1,1,Clear
148217,T20160008454,1,0,Clear
148218,T20160008455,9,1,Not known
148219,T20160008456,1,0,Clear
148220,T20160008457,1,0,Clear
148221,T20160008462,1,1,Clear
148222,T20160008463,1,1,Clear
148223,T20160008465,1,0,Clear
148224,T20160008469,1,1,Clear
148226,T20160008474,1,1,Clear
148227,T20160008476,1,1,Clear
148228,T20160008478,1,1,Clear
148229,T20160008479,1,1,Clear
148230,T20160008481,1,0,Clear
148231,T20160008482,1,1,Clear
148232,T20160008484,1,0,Clear
148233,T20160008495,1,1,Clear
148234,T20160008497,1,1,Clear
148235,T20160008498,2,0,Raining
148236,T20160008499,1,1,Clear
148237,T20160008500,1,1,Clear
148238,T20160008501,1,1,Clear
148239,T20160008503,1,1,Clear
148240,T20160008504,9,1,Not known
148241,T20160008505,9,0,Not known
148242,T20160008506,1,1,Clear
148243,T20160008507,1,1,Clear
148244,T20160008508,1,1,Clear
148245,T20160008510,1,1,Clear
148246,T20160008511,9,1,Not known
148247,T20160008513,9,1,Not known
148248,T20160008514,1,1,Clear
148249,T20160008515,1,1,Clear
148250,T20160008517,1,1,Clear
148251,T20160008518,1,1,Clear
148252,T20160008521,1,1,Clear
148253,T20160008522,1,1,Clear
148254,T20160008524,1,1,Clear
148255,T20160008526,1,0,Clear
148256,T20160008527,1,1,Clear
148257,T20160008528,1,1,Clear
148258,T20160008530,1,0,Clear
148259,T20160008531,1,0,Clear
148260,T20160008532,1,0,Clear
148261,T20160008533,1,1,Clear
148262,T20160008535,1,1,Clear
148263,T20160008536,1,1,Clear
148264,T20160008539,1,1,Clear
148265,T20160008542,1,0,Clear
148266,T20160008543,1,0,Clear
148267,T20160008545,9,1,Not known
148268,T20160008546,1,1,Clear
148269,T20160008547,1,1,Clear
148270,T20160008548,1,1,Clear
148271,T20160008550,9,1,Not known
148272,T20160008552,9,0,Not known
148273,T20160008553,1,0,Clear
148274,T20160008555,1,1,Clear
148275,T20160008556,1,1,Clear
148276,T20160008557,1,1,Clear
148277,T20160008558,1,1,Clear
148278,T20160008559,1,1,Clear
148279,T20160008561,1,1,Clear
148280,T20160008562,1,1,Clear
148281,T20160008563,1,0,Clear
148282,T20160008565,9,0,Not known
148283,T20160008567,1,1,Clear
148284,T20160008569,2,1,Raining
148285,T20160008571,1,1,Clear
148286,T20160008572,1,1,Clear
148287,T20160008576,1,1,Clear
148288,T20160008577,1,1,Clear
148289,T20160008578,1,1,Clear
148290,T20160008582,1,1,Clear
148291,T20160008584,1,0,Clear
148292,T20160008586,9,1,Not known
148293,T20160008587,1,1,Clear
148294,T20160008588,1,0,Clear
148295,T20160008589,1,1,Clear
148296,T20160008590,9,1,Not known
148297,T20160008591,1,1,Clear
148298,T20160008592,1,0,Clear
148299,T20160008593,9,1,Not known
148300,T20160008594,1,1,Clear
148301,T20160008595,1,1,Clear
148302,T20160008596,1,0,Clear
148303,T20160008598,1,0,Clear
148304,T20160008601,1,0,Clear
148305,T20160008602,9,1,Not known
148306,T20160008603,1,1,Clear
148307,T20160008608,1,1,Clear
148308,T20160008610,1,0,Clear
148309,T20160008611,1,1,Clear
148310,T20160008612,1,1,Clear
148311,T20160008613,1,1,Clear
148312,T20160008614,9,0,Not known
148313,T20160008616,1,1,Clear
148314,T20160008617,1,0,Clear
148316,T20160008619,9,1,Not known
148317,T20160008623,1,1,Clear
148318,T20160008624,1,1,Clear
148319,T20160008625,1,1,Clear
148320,T20160008628,1,0,Clear
148321,T20160008630,1,0,Clear
148322,T20160008631,1,1,Clear
148323,T20160008633,1,0,Clear
148324,T20160008635,1,1,Clear
148325,T20160008636,1,1,Clear
148326,T20160008637,1,1,Clear
148327,T20160008638,1,0,Clear
148328,T20160008639,1,1,Clear
148329,T20160008640,1,0,Clear
148330,T20160008641,9,1,Not known
148331,T20160008642,1,1,Clear
148332,T20160008647,1,1,Clear
148333,T20160008648,1,1,Clear
148334,T20160008654,1,0,Clear
148335,T20160008655,1,0,Clear
148336,T20160008656,2,2,Raining
148337,T20160008656,4,1,Fog
148338,T20160008657,1,1,Clear
148339,T20160008659,1,1,Clear
148340,T20160008660,1,0,Clear
148341,T20160008664,1,1,Clear
148342,T20160008665,1,0,Clear
148343,T20160008666,1,1,Clear
148344,T20160008669,1,1,Clear
148345,T20160008670,2,0,Raining
148346,T20160008674,2,0,Raining
148347,T20160008676,9,1,Not known
148348,T20160008677,2,1,Raining
148349,T20160008678,1,1,Clear
148350,T20160008679,1,1,Clear
148351,T20160008680,1,1,Clear
148352,T20160008682,1,1,Clear
148353,T20160008683,1,0,Clear
148354,T20160008684,9,0,Not known
148355,T20160008685,1,1,Clear
148356,T20160008686,1,1,Clear
148357,T20160008687,1,0,Clear
148359,T20160008689,2,1,Raining
148360,T20160008690,1,1,Clear
148361,T20160008691,1,1,Clear
148362,T20160008692,1,0,Clear
148363,T20160008693,1,1,Clear
148364,T20160008694,1,1,Clear
148365,T20160008695,9,0,Not known
148366,T20160008697,1,0,Clear
148367,T20160008698,1,1,Clear
148369,T20160008700,1,1,Clear
148370,T20160008702,9,0,Not known
148371,T20160008704,1,1,Clear
148372,T20160008705,1,1,Clear
148373,T20160008706,1,1,Clear
148374,T20160008707,1,1,Clear
148375,T20160008708,9,1,Not known
148376,T20160008709,1,1,Clear
148377,T20160008712,2,1,Raining
148378,T20160008715,1,1,Clear
148379,T20160008716,2,1,Raining
148380,T20160008717,2,0,Raining
148381,T20160008721,1,1,Clear
148382,T20160008722,2,1,Raining
148383,T20160008723,2,0,Raining
148384,T20160008725,2,0,Raining
148385,T20160008726,2,1,Raining
148386,T20160008727,2,0,Raining
148387,T20160008729,1,0,Clear
148388,T20160008730,2,0,Raining
148389,T20160008732,2,0,Raining
148390,T20160008736,2,1,Raining
148391,T20160008737,2,0,Raining
148392,T20160008738,2,1,Raining
148393,T20160008741,2,0,Raining
148394,T20160008744,1,1,Clear
148395,T20160008746,2,1,Raining
148396,T20160008747,2,1,Raining
148397,T20160008748,2,1,Raining
148398,T20160008753,2,0,Raining
148399,T20160008754,2,1,Raining
148400,T20160008757,1,0,Clear
148401,T20160008758,1,1,Clear
148402,T20160008761,1,1,Clear
148403,T20160008764,1,1,Clear
148404,T20160008767,1,1,Clear
148405,T20160008768,1,0,Clear
148406,T20160008772,1,0,Clear
148407,T20160008774,2,0,Raining
148408,T20160008775,2,1,Raining
148409,T20160008776,1,0,Clear
148410,T20160008778,1,0,Clear
148411,T20160008780,1,1,Clear
148412,T20160008781,1,1,Clear
148414,T20160008786,1,0,Clear
148415,T20160008787,1,1,Clear
148416,T20160008789,1,1,Clear
148417,T20160008790,1,1,Clear
148418,T20160008791,1,1,Clear
148419,T20160008792,1,1,Clear
148420,T20160008793,1,1,Clear
148421,T20160008794,1,0,Clear
148422,T20160008795,1,0,Clear
148423,T20160008796,1,0,Clear
148424,T20160008797,1,1,Clear
148425,T20160008798,1,1,Clear
148426,T20160008800,1,1,Clear
148427,T20160008801,1,1,Clear
148428,T20160008802,1,1,Clear
148429,T20160008803,2,1,Raining
148430,T20160008804,1,0,Clear
148431,T20160008805,1,1,Clear
148432,T20160008806,1,1,Clear
148433,T20160008808,1,0,Clear
148434,T20160008809,2,0,Raining
148435,T20160008811,1,0,Clear
148436,T20160008812,1,0,Clear
148437,T20160008813,9,1,Not known
148438,T20160008815,1,0,Clear
148439,T20160008818,1,1,Clear
148440,T20160008819,1,1,Clear
148441,T20160008822,1,0,Clear
148442,T20160008823,1,0,Clear
148443,T20160008824,1,0,Clear
148444,T20160008827,1,1,Clear
148445,T20160008828,1,1,Clear
148446,T20160008830,1,1,Clear
148447,T20160008832,1,0,Clear
148448,T20160008835,1,1,Clear
148449,T20160008839,9,1,Not known
148450,T20160008841,1,0,Clear
148451,T20160008843,9,1,Not known
148452,T20160008845,1,1,Clear
148453,T20160008846,1,1,Clear
148454,T20160008848,1,1,Clear
148455,T20160008849,1,1,Clear
148456,T20160008850,1,1,Clear
148457,T20160008851,1,0,Clear
148458,T20160008853,1,1,Clear
148459,T20160008855,1,1,Clear
148460,T20160008857,1,1,Clear
148461,T20160008859,1,0,Clear
148462,T20160008861,9,0,Not known
148463,T20160008862,9,1,Not known
148464,T20160008863,1,0,Clear
148465,T20160008864,1,1,Clear
148466,T20160008865,1,1,Clear
148467,T20160008867,1,1,Clear
148468,T20160008868,1,1,Clear
148469,T20160008870,1,1,Clear
148470,T20160008873,1,1,Clear
148471,T20160008874,1,1,Clear
148472,T20160008875,1,1,Clear
148473,T20160008876,1,1,Clear
148474,T20160008878,9,0,Not known
148475,T20160008879,1,1,Clear
148476,T20160008880,1,0,Clear
148477,T20160008881,9,0,Not known
148478,T20160008882,2,1,Raining
148479,T20160008883,1,1,Clear
148480,T20160008884,1,0,Clear
148481,T20160008886,1,1,Clear
148482,T20160008889,2,0,Raining
148483,T20160008890,1,1,Clear
148484,T20160008895,1,1,Clear
148485,T20160008895,6,2,Dust
148486,T20160008898,1,1,Clear
148487,T20160008903,1,1,Clear
148488,T20160008904,1,0,Clear
148489,T20160008905,4,0,Fog
148490,T20160008906,1,0,Clear
148491,T20160008907,2,0,Raining
148492,T20160008913,1,1,Clear
148493,T20160008918,1,0,Clear
148494,T20160008921,1,1,Clear
148495,T20160008923,1,1,Clear
148496,T20160008925,1,1,Clear
148497,T20160008927,1,1,Clear
148498,T20160008928,1,1,Clear
148499,T20160008929,1,1,Clear
148500,T20160008930,1,1,Clear
148501,T20160008932,1,0,Clear
148502,T20160008933,1,1,Clear
148503,T20160008934,1,1,Clear
148504,T20160008935,1,1,Clear
148505,T20160008936,1,1,Clear
148506,T20160008937,1,0,Clear
148507,T20160008939,1,0,Clear
148508,T20160008940,1,1,Clear
148509,T20160008944,1,0,Clear
148510,T20160008946,1,0,Clear
148511,T20160008947,1,0,Clear
148512,T20160008949,1,1,Clear
148513,T20160008951,1,1,Clear
148514,T20160008952,1,1,Clear
148515,T20160008954,9,1,Not known
148516,T20160008956,1,1,Clear
148517,T20160008957,1,1,Clear
148518,T20160008960,9,1,Not known
148519,T20160008961,1,1,Clear
148520,T20160008963,1,0,Clear
148521,T20160008964,1,1,Clear
148522,T20160008965,1,1,Clear
148523,T20160008969,1,0,Clear
148524,T20160008971,4,0,Fog
148525,T20160008973,1,0,Clear
148526,T20160008976,1,1,Clear
148527,T20160008977,1,1,Clear
148528,T20160008978,1,1,Clear
148529,T20160008980,1,1,Clear
148530,T20160008986,1,0,Clear
148531,T20160008987,1,1,Clear
148532,T20160008991,1,0,Clear
148534,T20160008997,1,1,Clear
148535,T20160008999,1,1,Clear
148536,T20160009000,1,1,Clear
148537,T20160009001,1,1,Clear
148538,T20160009002,1,1,Clear
148539,T20160009003,1,1,Clear
148540,T20160009004,1,1,Clear
148541,T20160009005,9,1,Not known
148542,T20160009006,1,0,Clear
148543,T20160009008,1,1,Clear
148544,T20160009009,1,1,Clear
148545,T20160009012,1,1,Clear
148546,T20160009016,9,1,Not known
148547,T20160009017,9,1,Not known
148548,T20160009020,9,1,Not known
148549,T20160009022,1,1,Clear
148550,T20160009026,2,1,Raining
148551,T20160009031,1,1,Clear
148552,T20160009032,1,1,Clear
148553,T20160009033,1,0,Clear
148554,T20160009035,1,1,Clear
148555,T20160009037,1,1,Clear
148556,T20160009038,1,1,Clear
148557,T20160009040,1,1,Clear
148558,T20160009041,4,1,Fog
148559,T20160009044,9,1,Not known
148560,T20160009045,1,1,Clear
148561,T20160009046,1,1,Clear
148562,T20160009048,1,1,Clear
148563,T20160009050,1,1,Clear
148564,T20160009052,1,0,Clear
148565,T20160009056,1,1,Clear
148566,T20160009058,1,1,Clear
148567,T20160009060,2,0,Raining
148568,T20160009061,1,1,Clear
148569,T20160009062,1,1,Clear
148570,T20160009063,1,1,Clear
148571,T20160009064,1,1,Clear
148572,T20160009065,1,1,Clear
148573,T20160009066,1,1,Clear
148574,T20160009067,1,0,Clear
148575,T20160009072,1,1,Clear
148576,T20160009073,9,1,Not known
148577,T20160009074,9,1,Not known
148578,T20160009077,1,0,Clear
148579,T20160009078,1,0,Clear
148580,T20160009079,1,1,Clear
148581,T20160009080,1,1,Clear
148582,T20160009081,1,1,Clear
148583,T20160009082,1,1,Clear
148584,T20160009083,1,0,Clear
148585,T20160009085,1,1,Clear
148586,T20160009086,9,1,Not known
148587,T20160009088,1,1,Clear
148588,T20160009089,1,1,Clear
148589,T20160009090,1,1,Clear
148590,T20160009091,1,0,Clear
148591,T20160009092,1,1,Clear
148592,T20160009093,1,1,Clear
148593,T20160009096,1,0,Clear
148594,T20160009097,1,0,Clear
148595,T20160009100,1,0,Clear
148596,T20160009102,9,0,Not known
148597,T20160009104,9,1,Not known
148598,T20160009105,1,0,Clear
148599,T20160009106,1,1,Clear
148600,T20160009109,1,1,Clear
148601,T20160009111,1,1,Clear
148602,T20160009112,1,0,Clear
148603,T20160009113,1,1,Clear
148604,T20160009114,1,0,Clear
148605,T20160009115,1,1,Clear
148606,T20160009116,1,1,Clear
148607,T20160009121,1,1,Clear
148608,T20160009122,1,1,Clear
148609,T20160009124,1,1,Clear
148610,T20160009125,1,0,Clear
148611,T20160009126,1,1,Clear
148612,T20160009129,9,1,Not known
148613,T20160009132,9,1,Not known
148614,T20160009133,1,1,Clear
148615,T20160009136,1,0,Clear
148616,T20160009137,1,1,Clear
148617,T20160009139,1,1,Clear
148618,T20160009140,1,0,Clear
148619,T20160009141,1,1,Clear
148620,T20160009142,1,0,Clear
148621,T20160009143,1,1,Clear
148622,T20160009144,1,1,Clear
148623,T20160009146,1,1,Clear
148624,T20160009148,1,0,Clear
148625,T20160009149,1,0,Clear
148626,T20160009150,1,1,Clear
148627,T20160009150,7,2,Strong winds
148628,T20160009152,1,0,Clear
148629,T20160009153,1,1,Clear
148630,T20160009154,1,1,Clear
148631,T20160009155,7,1,Strong winds
148632,T20160009158,1,1,Clear
148633,T20160009159,1,1,Clear
148634,T20160009160,9,1,Not known
148635,T20160009163,1,0,Clear
148636,T20160009165,1,0,Clear
148637,T20160009166,1,1,Clear
148638,T20160009168,1,1,Clear
148639,T20160009169,9,1,Not known
148640,T20160009175,1,0,Clear
148641,T20160009176,1,1,Clear
148642,T20160009177,1,1,Clear
148643,T20160009178,1,1,Clear
148644,T20160009179,1,0,Clear
148645,T20160009181,1,0,Clear
148646,T20160009183,1,1,Clear
148647,T20160009184,9,1,Not known
148648,T20160009186,1,0,Clear
148649,T20160009187,1,1,Clear
148650,T20160009188,1,1,Clear
148651,T20160009189,1,1,Clear
148652,T20160009191,1,1,Clear
148653,T20160009192,1,1,Clear
148654,T20160009193,1,1,Clear
148655,T20160009194,1,1,Clear
148656,T20160009198,1,1,Clear
148657,T20160009202,1,1,Clear
148658,T20160009202,7,2,Strong winds
148659,T20160009205,1,1,Clear
148660,T20160009207,4,1,Fog
148661,T20160009209,9,1,Not known
148662,T20160009210,1,1,Clear
148663,T20160009214,1,1,Clear
148664,T20160009215,1,0,Clear
148665,T20160009216,2,0,Raining
148666,T20160009217,1,1,Clear
148667,T20160009219,2,1,Raining
148668,T20160009220,9,0,Not known
148669,T20160009222,1,0,Clear
148670,T20160009223,1,1,Clear
148671,T20160009224,2,0,Raining
148672,T20160009225,1,1,Clear
148673,T20160009227,1,1,Clear
148674,T20160009228,1,0,Clear
148675,T20160009230,2,1,Raining
148676,T20160009231,1,1,Clear
148677,T20160009233,1,0,Clear
148678,T20160009237,9,1,Not known
148679,T20160009238,1,1,Clear
148680,T20160009240,1,1,Clear
148681,T20160009244,1,1,Clear
148682,T20160009246,1,1,Clear
148683,T20160009247,1,1,Clear
148684,T20160009249,1,1,Clear
148685,T20160009250,1,1,Clear
148686,T20160009251,1,0,Clear
148687,T20160009253,1,1,Clear
148688,T20160009254,1,0,Clear
148689,T20160009255,1,1,Clear
148690,T20160009256,1,1,Clear
148691,T20160009259,1,1,Clear
148692,T20160009260,1,0,Clear
148693,T20160009261,1,0,Clear
148694,T20160009262,1,1,Clear
148695,T20160009263,1,1,Clear
148696,T20160009264,1,1,Clear
148697,T20160009268,2,1,Raining
148698,T20160009270,1,0,Clear
148699,T20160009275,1,0,Clear
148700,T20160009276,1,0,Clear
148701,T20160009277,1,1,Clear
148702,T20160009279,1,1,Clear
148703,T20160009281,1,0,Clear
148704,T20160009283,1,1,Clear
148705,T20160009284,1,1,Clear
148706,T20160009285,1,1,Clear
148707,T20160009287,9,1,Not known
148708,T20160009288,1,1,Clear
148709,T20160009289,1,1,Clear
148710,T20160009292,1,1,Clear
148711,T20160009293,1,1,Clear
148712,T20160009294,1,0,Clear
148713,T20160009296,1,1,Clear
148714,T20160009297,1,0,Clear
148715,T20160009300,1,0,Clear
148716,T20160009301,2,0,Raining
148717,T20160009302,2,1,Raining
148718,T20160009303,1,1,Clear
148719,T20160009304,1,1,Clear
148720,T20160009305,2,0,Raining
148721,T20160009305,6,1,Dust
148722,T20160009308,9,1,Not known
148723,T20160009309,2,1,Raining
