,ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
141973,T20160000013,1,Dry,1
141974,T20160000015,1,Dry,1
141977,T20160000019,1,Dry,1
141980,T20160000028,1,Dry,1
141981,T20160000031,1,Dry,1
141983,T20160000033,1,Dry,1
141984,T20160000034,1,Dry,1
141986,T20160000037,1,Dry,1
141987,T20160000038,1,Dry,1
141988,T20160000043,1,Dry,1
141989,T20160000046,1,Dry,1
141990,T20160000048,1,Dry,1
141991,T20160000049,1,Dry,1
141992,T20160000050,1,Dry,1
141993,T20160000051,1,Dry,1
141994,T20160000052,1,Dry,1
141995,T20160000053,1,Dry,1
141996,T20160000056,1,Dry,1
141997,T20160000057,1,Dry,1
141998,T20160000058,1,Dry,1
141999,T20160000061,1,Dry,1
142000,T20160000066,1,Dry,1
142001,T20160000068,1,Dry,1
142002,T20160000069,1,Dry,1
142003,T20160000070,1,Dry,1
142005,T20160000076,1,Dry,1
142007,T20160000079,1,Dry,1
142009,T20160000082,2,Wet,1
142010,T20160000084,1,Dry,1
142011,T20160000086,1,Dry,1
142013,T20160000088,1,Dry,0
142015,T20160000091,2,Wet,1
142016,T20160000092,1,Dry,1
142017,T20160000094,1,Dry,1
142018,T20160000095,1,Dry,0
142020,T20160000099,1,Dry,0
142021,T20160000101,1,Dry,1
142022,T20160000102,2,Wet,0
142023,T20160000106,1,Dry,1
142024,T20160000108,1,Dry,1
142025,T20160000109,2,Wet,1
142026,T20160000113,1,Dry,1
142027,T20160000114,2,Wet,1
142028,T20160000117,1,Dry,1
142029,T20160000119,1,Dry,1
142030,T20160000123,1,Dry,0
142031,T20160000126,1,Dry,1
142032,T20160000128,1,Dry,1
142033,T20160000130,1,Dry,1
142034,T20160000131,1,Dry,0
142035,T20160000133,2,Wet,1
142036,T20160000135,1,Dry,1
142037,T20160000136,1,Dry,1
142038,T20160000140,5,Icy,1
142039,T20160000143,1,Dry,0
142041,T20160000147,1,Dry,1
142044,T20160000152,1,Dry,1
142045,T20160000153,2,Wet,1
142046,T20160000154,1,Dry,0
142047,T20160000156,1,Dry,1
142048,T20160000157,2,Wet,1
142049,T20160000158,1,Dry,1
142051,T20160000162,1,Dry,1
142052,T20160000163,1,Dry,0
142053,T20160000164,1,Dry,1
142054,T20160000166,1,Dry,1
142055,T20160000168,1,Dry,1
142056,T20160000169,2,Wet,1
142057,T20160000172,1,Dry,0
142058,T20160000174,1,Dry,1
142059,T20160000176,1,Dry,1
142060,T20160000178,1,Dry,1
142061,T20160000179,1,Dry,1
142063,T20160000181,1,Dry,0
142064,T20160000183,1,Dry,1
142065,T20160000184,9,Unknown,1
142066,T20160000185,1,Dry,1
142067,T20160000187,1,Dry,1
142068,T20160000191,1,Dry,1
142069,T20160000192,2,Wet,0
142070,T20160000195,1,Dry,1
142072,T20160000198,1,Dry,1
142074,T20160000202,1,Dry,1
142076,T20160000207,1,Dry,0
142078,T20160000210,1,Dry,1
142079,T20160000211,1,Dry,1
142080,T20160000212,1,Dry,0
142081,T20160000213,2,Wet,1
142083,T20160000216,1,Dry,1
142084,T20160000217,1,Dry,1
142085,T20160000220,1,Dry,1
142086,T20160000221,2,Wet,0
142087,T20160000223,2,Wet,1
142089,T20160000225,2,Wet,1
142090,T20160000226,2,Wet,1
142091,T20160000227,1,Dry,1
142093,T20160000231,9,Unknown,1
142094,T20160000232,2,Wet,1
142095,T20160000234,1,Dry,1
142096,T20160000235,1,Dry,0
142097,T20160000238,1,Dry,1
142098,T20160000239,1,Dry,1
142100,T20160000243,1,Dry,1
142104,T20160000248,1,Dry,1
142105,T20160000250,1,Dry,0
142107,T20160000254,1,Dry,1
142108,T20160000255,1,Dry,1
142109,T20160000257,2,Wet,1
142111,T20160000260,1,Dry,0
142112,T20160000263,2,Wet,1
142113,T20160000263,3,Muddy,2
142114,T20160000264,1,Dry,1
142116,T20160000266,1,Dry,1
142118,T20160000268,1,Dry,1
142120,T20160000272,1,Dry,1
142121,T20160000275,1,Dry,1
142122,T20160000276,1,Dry,1
142124,T20160000281,1,Dry,1
142126,T20160000287,1,Dry,1
142127,T20160000288,1,Dry,1
142128,T20160000291,1,Dry,1
142129,T20160000292,1,Dry,0
142130,T20160000294,2,Wet,1
142131,T20160000296,1,Dry,0
142132,T20160000298,1,Dry,1
142133,T20160000299,1,Dry,1
142134,T20160000300,2,Wet,1
142135,T20160000301,1,Dry,1
142136,T20160000304,1,Dry,1
142137,T20160000305,1,Dry,1
142138,T20160000307,1,Dry,1
142139,T20160000308,1,Dry,0
142140,T20160000309,1,Dry,1
142141,T20160000311,1,Dry,1
142142,T20160000312,1,Dry,1
142143,T20160000313,1,Dry,1
142144,T20160000314,1,Dry,0
142146,T20160000318,1,Dry,1
142147,T20160000319,2,Wet,1
142148,T20160000320,1,Dry,1
142149,T20160000321,1,Dry,1
142150,T20160000324,1,Dry,0
142151,T20160000327,1,Dry,1
142155,T20160000338,1,Dry,1
142157,T20160000341,1,Dry,1
142159,T20160000343,1,Dry,1
142160,T20160000345,1,Dry,1
142161,T20160000348,1,Dry,1
142163,T20160000353,1,Dry,1
142165,T20160000355,1,Dry,1
142169,T20160000361,1,Dry,0
142170,T20160000363,1,Dry,1
142171,T20160000364,1,Dry,0
142172,T20160000366,1,Dry,0
142173,T20160000370,1,Dry,1
142174,T20160000371,1,Dry,1
142175,T20160000372,1,Dry,1
142176,T20160000374,1,Dry,1
142177,T20160000375,1,Dry,1
142179,T20160000382,1,Dry,1
142180,T20160000384,1,Dry,1
142181,T20160000385,1,Dry,1
142182,T20160000386,1,Dry,1
142183,T20160000388,1,Dry,0
142184,T20160000390,1,Dry,1
142185,T20160000392,1,Dry,0
142186,T20160000397,2,Wet,1
142187,T20160000398,1,Dry,1
142188,T20160000399,1,Dry,1
142190,T20160000401,1,Dry,1
142191,T20160000402,1,Dry,1
142193,T20160000406,1,Dry,1
142195,T20160000409,1,Dry,1
142196,T20160000412,1,Dry,1
142197,T20160000413,1,Dry,1
142198,T20160000416,1,Dry,1
142199,T20160000418,1,Dry,1
142200,T20160000420,1,Dry,1
142204,T20160000424,1,Dry,0
142206,T20160000427,1,Dry,1
142207,T20160000428,1,Dry,0
142208,T20160000430,1,Dry,1
142209,T20160000432,1,Dry,1
142210,T20160000435,1,Dry,1
142211,T20160000436,1,Dry,1
142212,T20160000437,1,Dry,0
142213,T20160000441,1,Dry,1
142215,T20160000445,1,Dry,0
142216,T20160000448,1,Dry,1
142217,T20160000449,1,Dry,1
142219,T20160000452,1,Dry,1
142220,T20160000453,1,Dry,1
142221,T20160000454,1,Dry,1
142223,T20160000457,1,Dry,0
142224,T20160000458,1,Dry,1
142225,T20160000461,1,Dry,1
142226,T20160000462,1,Dry,1
142227,T20160000463,1,Dry,1
142228,T20160000465,1,Dry,0
142230,T20160000468,1,Dry,1
142231,T20160000471,1,Dry,1
142232,T20160000473,1,Dry,1
142234,T20160000476,1,Dry,0
142235,T20160000477,1,Dry,0
142236,T20160000478,1,Dry,1
142237,T20160000479,9,Unknown,1
142239,T20160000488,1,Dry,1
142240,T20160000490,1,Dry,1
142241,T20160000491,1,Dry,1
142242,T20160000492,1,Dry,1
142243,T20160000493,1,Dry,0
142244,T20160000495,1,Dry,1
142245,T20160000498,1,Dry,1
142246,T20160000499,1,Dry,1
142247,T20160000500,1,Dry,1
142248,T20160000501,1,Dry,0
142249,T20160000502,1,Dry,1
142250,T20160000503,1,Dry,0
142251,T20160000504,1,Dry,1
142254,T20160000507,1,Dry,1
142255,T20160000508,1,Dry,1
142257,T20160000515,1,Dry,0
142258,T20160000517,1,Dry,1
142259,T20160000521,1,Dry,1
142261,T20160000524,1,Dry,1
142262,T20160000525,1,Dry,1
142263,T20160000526,1,Dry,1
142264,T20160000528,1,Dry,0
142265,T20160000530,1,Dry,1
142266,T20160000532,1,Dry,1
142267,T20160000537,1,Dry,1
142268,T20160000538,1,Dry,1
142269,T20160000539,1,Dry,0
142270,T20160000541,1,Dry,1
142271,T20160000542,1,Dry,1
142272,T20160000544,1,Dry,1
142273,T20160000545,1,Dry,1
142274,T20160000546,1,Dry,1
142275,T20160000549,1,Dry,1
142276,T20160000550,1,Dry,0
142277,T20160000551,1,Dry,1
142278,T20160000552,1,Dry,1
142279,T20160000553,1,Dry,1
142280,T20160000555,1,Dry,1
142281,T20160000556,1,Dry,1
142283,T20160000560,1,Dry,1
142284,T20160000561,1,Dry,1
142285,T20160000562,1,Dry,1
142286,T20160000563,1,Dry,1
142287,T20160000564,1,Dry,1
142288,T20160000565,1,Dry,1
142289,T20160000566,1,Dry,1
142290,T20160000567,1,Dry,0
142291,T20160000570,3,Muddy,1
142292,T20160000571,1,Dry,1
142293,T20160000572,1,Dry,1
142294,T20160000577,1,Dry,1
142295,T20160000578,1,Dry,1
142296,T20160000579,1,Dry,0
142297,T20160000580,1,Dry,1
142298,T20160000582,1,Dry,1
142299,T20160000584,1,Dry,1
142300,T20160000585,1,Dry,1
142302,T20160000590,1,Dry,0
142303,T20160000591,1,Dry,0
142304,T20160000592,1,Dry,0
142305,T20160000596,1,Dry,0
142306,T20160000598,1,Dry,1
142307,T20160000600,1,Dry,1
142308,T20160000605,1,Dry,1
142309,T20160000607,1,Dry,0
142310,T20160000610,1,Dry,1
142311,T20160000611,1,Dry,1
142312,T20160000612,1,Dry,1
142313,T20160000614,1,Dry,0
142314,T20160000619,1,Dry,1
142315,T20160000621,1,Dry,0
142316,T20160000622,1,Dry,1
142317,T20160000624,1,Dry,1
142318,T20160000626,1,Dry,1
142319,T20160000627,1,Dry,0
142320,T20160000628,1,Dry,1
142321,T20160000630,1,Dry,1
142322,T20160000632,1,Dry,1
142323,T20160000633,1,Dry,1
142324,T20160000634,1,Dry,0
142325,T20160000635,1,Dry,0
142326,T20160000637,1,Dry,1
142327,T20160000638,1,Dry,1
142328,T20160000640,1,Dry,1
142329,T20160000646,1,Dry,1
142330,T20160000647,1,Dry,1
142331,T20160000648,1,Dry,1
142332,T20160000649,1,Dry,1
142333,T20160000650,1,Dry,0
142335,T20160000656,1,Dry,0
142337,T20160000658,1,Dry,1
142338,T20160000659,1,Dry,1
142339,T20160000663,1,Dry,1
142340,T20160000666,1,Dry,1
142341,T20160000667,9,Unknown,1
142343,T20160000670,1,Dry,1
142344,T20160000672,1,Dry,1
142345,T20160000673,1,Dry,1
142346,T20160000674,1,Dry,1
142347,T20160000677,1,Dry,0
142348,T20160000678,1,Dry,1
142349,T20160000679,1,Dry,1
142350,T20160000681,1,Dry,1
142351,T20160000682,1,Dry,1
142353,T20160000686,1,Dry,1
142354,T20160000691,1,Dry,1
142356,T20160000694,2,Wet,0
142358,T20160000699,2,Wet,0
142359,T20160000700,2,Wet,0
142361,T20160000703,1,Dry,1
142362,T20160000705,1,Dry,1
142364,T20160000707,1,Dry,1
142365,T20160000708,2,Wet,1
142367,T20160000710,1,Dry,1
142368,T20160000714,1,Dry,1
142369,T20160000715,1,Dry,0
142371,T20160000719,2,Wet,1
142372,T20160000723,2,Wet,0
142373,T20160000725,1,Dry,1
142374,T20160000726,1,Dry,1
142376,T20160000731,1,Dry,1
142377,T20160000733,1,Dry,1
142379,T20160000735,1,Dry,0
142380,T20160000736,1,Dry,1
142381,T20160000738,1,Dry,1
142382,T20160000740,1,Dry,0
142385,T20160000747,1,Dry,0
142387,T20160000753,1,Dry,0
142388,T20160000754,1,Dry,1
142389,T20160000756,1,Dry,1
142390,T20160000757,1,Dry,1
142391,T20160000758,1,Dry,1
142392,T20160000762,1,Dry,0
142393,T20160000763,1,Dry,1
142394,T20160000764,1,Dry,1
142395,T20160000765,1,Dry,1
142396,T20160000766,1,Dry,1
142398,T20160000770,1,Dry,1
142399,T20160000772,1,Dry,0
142400,T20160000773,1,Dry,1
142401,T20160000776,1,Dry,1
142402,T20160000777,1,Dry,1
142403,T20160000778,1,Dry,1
142404,T20160000780,1,Dry,1
142405,T20160000781,1,Dry,0
142406,T20160000783,1,Dry,0
142407,T20160000785,1,Dry,0
142408,T20160000789,1,Dry,0
142409,T20160000791,1,Dry,0
142410,T20160000793,1,Dry,0
142411,T20160000795,1,Dry,1
142413,T20160000798,1,Dry,0
142414,T20160000801,1,Dry,1
142415,T20160000802,1,Dry,1
142417,T20160000806,1,Dry,1
142419,T20160000808,1,Dry,1
142420,T20160000811,1,Dry,1
142421,T20160000813,1,Dry,1
142424,T20160000817,1,Dry,1
142426,T20160000820,1,Dry,0
142427,T20160000821,1,Dry,1
142428,T20160000822,1,Dry,1
142430,T20160000825,1,Dry,1
142431,T20160000828,1,Dry,0
142432,T20160000833,1,Dry,1
142436,T20160000841,1,Dry,1
142437,T20160000842,1,Dry,0
142438,T20160000843,1,Dry,1
142440,T20160000847,1,Dry,1
142441,T20160000848,1,Dry,1
142442,T20160000850,1,Dry,0
142443,T20160000851,1,Dry,1
142444,T20160000854,1,Dry,1
142446,T20160000857,1,Dry,1
142448,T20160000859,1,Dry,1
142449,T20160000860,1,Dry,1
142450,T20160000863,1,Dry,1
142452,T20160000867,1,Dry,1
142453,T20160000868,1,Dry,1
142454,T20160000869,1,Dry,1
142455,T20160000870,1,Dry,1
142456,T20160000871,1,Dry,1
142457,T20160000872,1,Dry,1
142458,T20160000873,1,Dry,1
142459,T20160000875,1,Dry,1
142460,T20160000877,1,Dry,1
142462,T20160000879,1,Dry,0
142463,T20160000881,1,Dry,1
142465,T20160000885,1,Dry,1
142466,T20160000886,1,Dry,0
142468,T20160000889,1,Dry,0
142469,T20160000891,1,Dry,1
142471,T20160000893,1,Dry,0
142472,T20160000895,2,Wet,0
142474,T20160000900,1,Dry,1
142475,T20160000902,2,Wet,1
142476,T20160000903,2,Wet,0
142477,T20160000904,1,Dry,0
142478,T20160000910,1,Dry,1
142479,T20160000913,1,Dry,0
142480,T20160000914,1,Dry,1
142481,T20160000917,1,Dry,1
142484,T20160000920,9,Unknown,1
142486,T20160000924,1,Dry,1
142487,T20160000925,1,Dry,1
142488,T20160000928,2,Wet,1
142489,T20160000931,1,Dry,0
142490,T20160000932,1,Dry,1
142491,T20160000933,2,Wet,1
142494,T20160000937,1,Dry,1
142495,T20160000939,2,Wet,1
142496,T20160000940,2,Wet,1
142497,T20160000942,1,Dry,1
142498,T20160000947,2,Wet,1
142499,T20160000948,2,Wet,1
142500,T20160000949,2,Wet,1
142501,T20160000951,1,Dry,1
142502,T20160000954,2,Wet,1
142504,T20160000957,2,Wet,0
142505,T20160000958,2,Wet,0
142507,T20160000961,1,Dry,1
142508,T20160000968,1,Dry,1
142510,T20160000971,2,Wet,1
142512,T20160000976,1,Dry,1
142513,T20160000977,1,Dry,1
142514,T20160000978,1,Dry,1
142515,T20160000980,1,Dry,1
142516,T20160000981,1,Dry,1
142517,T20160000983,2,Wet,1
142518,T20160000986,1,Dry,1
142520,T20160000989,1,Dry,1
142521,T20160000990,1,Dry,1
142522,T20160000992,1,Dry,1
142523,T20160000993,1,Dry,1
142525,T20160000996,1,Dry,0
142526,T20160000997,9,Unknown,1
142528,T20160001008,1,Dry,0
142529,T20160001010,1,Dry,1
142530,T20160001012,2,Wet,1
142531,T20160001013,1,Dry,0
142532,T20160001015,1,Dry,1
142533,T20160001016,1,Dry,0
142534,T20160001018,9,Unknown,1
142535,T20160001019,1,Dry,1
142537,T20160001022,1,Dry,1
142538,T20160001023,1,Dry,1
142539,T20160001024,1,Dry,0
142540,T20160001026,1,Dry,1
142541,T20160001027,1,Dry,1
142542,T20160001029,1,Dry,1
142543,T20160001030,1,Dry,1
142544,T20160001031,1,Dry,1
142545,T20160001034,1,Dry,1
142546,T20160001035,1,Dry,1
142547,T20160001036,1,Dry,0
142548,T20160001040,1,Dry,0
142549,T20160001046,1,Dry,1
142550,T20160001049,1,Dry,0
142551,T20160001050,1,Dry,1
142553,T20160001052,1,Dry,1
142555,T20160001058,2,Wet,1
142556,T20160001059,1,Dry,1
142557,T20160001061,1,Dry,1
142558,T20160001062,1,Dry,1
142559,T20160001063,1,Dry,1
142560,T20160001064,1,Dry,1
142561,T20160001066,1,Dry,1
142562,T20160001067,1,Dry,0
142563,T20160001068,9,Unknown,1
142565,T20160001071,1,Dry,0
142566,T20160001073,1,Dry,1
142567,T20160001077,1,Dry,0
142568,T20160001080,1,Dry,0
142569,T20160001084,1,Dry,0
142570,T20160001085,1,Dry,1
142571,T20160001086,1,Dry,1
142572,T20160001087,1,Dry,1
142573,T20160001091,1,Dry,1
142574,T20160001092,1,Dry,1
142575,T20160001093,1,Dry,1
142576,T20160001094,1,Dry,1
142577,T20160001096,1,Dry,1
142578,T20160001100,1,Dry,0
142579,T20160001101,1,Dry,1
142580,T20160001103,1,Dry,1
142581,T20160001105,1,Dry,1
142582,T20160001106,1,Dry,0
142583,T20160001109,1,Dry,0
142584,T20160001112,1,Dry,0
142585,T20160001113,1,Dry,1
142586,T20160001116,1,Dry,1
142587,T20160001117,1,Dry,0
142589,T20160001119,1,Dry,1
142590,T20160001120,1,Dry,0
142591,T20160001122,1,Dry,1
142593,T20160001124,1,Dry,1
142594,T20160001125,1,Dry,1
142595,T20160001126,1,Dry,1
142596,T20160001127,9,Unknown,1
142597,T20160001128,1,Dry,1
142599,T20160001130,1,Dry,1
142600,T20160001131,1,Dry,0
142601,T20160001132,1,Dry,1
142602,T20160001133,1,Dry,1
142603,T20160001134,1,Dry,1
142604,T20160001135,1,Dry,1
142605,T20160001136,1,Dry,1
142606,T20160001139,1,Dry,1
142608,T20160001141,1,Dry,1
142609,T20160001142,1,Dry,1
142610,T20160001143,1,Dry,1
142611,T20160001144,1,Dry,1
142612,T20160001145,1,Dry,0
142613,T20160001146,1,Dry,0
142614,T20160001148,1,Dry,1
142615,T20160001152,1,Dry,1
142616,T20160001153,1,Dry,1
142617,T20160001155,1,Dry,1
142618,T20160001156,1,Dry,1
142619,T20160001157,1,Dry,0
142620,T20160001158,1,Dry,1
142621,T20160001159,1,Dry,1
142622,T20160001161,1,Dry,1
142623,T20160001162,1,Dry,1
142624,T20160001167,1,Dry,1
142625,T20160001168,1,Dry,1
142626,T20160001169,1,Dry,1
142627,T20160001172,1,Dry,0
142628,T20160001173,1,Dry,0
142629,T20160001174,1,Dry,1
142630,T20160001176,1,Dry,0
142631,T20160001177,1,Dry,1
142632,T20160001178,1,Dry,0
142634,T20160001180,1,Dry,0
142635,T20160001181,1,Dry,0
142636,T20160001182,1,Dry,0
142637,T20160001183,2,Wet,1
142638,T20160001184,1,Dry,1
142640,T20160001188,1,Dry,0
142641,T20160001189,9,Unknown,1
142642,T20160001190,1,Dry,1
142643,T20160001191,1,Dry,1
142644,T20160001193,1,Dry,1
142646,T20160001195,1,Dry,1
142647,T20160001196,1,Dry,1
142649,T20160001202,1,Dry,0
142651,T20160001209,1,Dry,1
142652,T20160001210,1,Dry,0
142654,T20160001216,9,Unknown,0
142655,T20160001219,1,Dry,1
142656,T20160001220,1,Dry,1
142657,T20160001223,1,Dry,1
142658,T20160001226,1,Dry,1
142659,T20160001227,1,Dry,0
142661,T20160001233,1,Dry,1
142662,T20160001235,1,Dry,0
142663,T20160001236,1,Dry,1
142664,T20160001238,1,Dry,1
142665,T20160001239,1,Dry,0
142666,T20160001242,1,Dry,1
142667,T20160001243,1,Dry,1
142668,T20160001244,1,Dry,1
142669,T20160001247,1,Dry,1
142671,T20160001250,1,Dry,1
142673,T20160001252,1,Dry,1
142674,T20160001256,1,Dry,1
142675,T20160001257,1,Dry,0
142676,T20160001258,1,Dry,1
142677,T20160001259,1,Dry,1
142680,T20160001262,1,Dry,1
142681,T20160001264,1,Dry,0
142682,T20160001266,1,Dry,1
142685,T20160001270,1,Dry,1
142686,T20160001271,1,Dry,1
142687,T20160001272,1,Dry,0
142688,T20160001273,1,Dry,1
142689,T20160001275,2,Wet,1
142691,T20160001278,9,Unknown,1
142692,T20160001280,1,Dry,1
142694,T20160001282,1,Dry,0
142695,T20160001284,9,Unknown,1
142696,T20160001285,1,Dry,0
142698,T20160001287,1,Dry,1
142699,T20160001288,1,Dry,1
142700,T20160001290,1,Dry,1
142701,T20160001292,1,Dry,1
142702,T20160001294,1,Dry,1
142703,T20160001296,1,Dry,0
142704,T20160001297,9,Unknown,1
142705,T20160001298,1,Dry,1
142706,T20160001299,1,Dry,1
142707,T20160001300,1,Dry,0
142708,T20160001301,1,Dry,0
142709,T20160001302,1,Dry,1
142710,T20160001303,1,Dry,0
142711,T20160001304,1,Dry,0
142712,T20160001305,1,Dry,1
142713,T20160001306,1,Dry,0
142714,T20160001308,9,Unknown,1
142715,T20160001310,1,Dry,1
142717,T20160001314,1,Dry,0
142718,T20160001315,1,Dry,0
142720,T20160001324,1,Dry,0
142721,T20160001328,1,Dry,0
142722,T20160001329,1,Dry,1
142723,T20160001330,1,Dry,0
142724,T20160001331,2,Wet,1
142726,T20160001334,2,Wet,0
142727,T20160001335,2,Wet,1
142728,T20160001336,2,Wet,0
142729,T20160001337,2,Wet,1
142732,T20160001341,2,Wet,1
142733,T20160001342,1,Dry,1
142734,T20160001343,1,Dry,0
142735,T20160001345,9,Unknown,1
142736,T20160001346,9,Unknown,1
142737,T20160001347,2,Wet,1
142739,T20160001349,2,Wet,0
142740,T20160001350,2,Wet,1
142741,T20160001351,2,Wet,0
142742,T20160001352,2,Wet,1
142743,T20160001355,2,Wet,1
142744,T20160001356,2,Wet,1
142745,T20160001358,2,Wet,0
142747,T20160001360,2,Wet,0
142748,T20160001361,2,Wet,1
142749,T20160001362,2,Wet,1
142750,T20160001364,2,Wet,1
142752,T20160001367,1,Dry,1
142753,T20160001368,1,Dry,1
142754,T20160001369,1,Dry,0
142755,T20160001370,2,Wet,1
142756,T20160001371,1,Dry,1
142757,T20160001372,2,Wet,1
142758,T20160001373,1,Dry,1
142759,T20160001374,2,Wet,1
142760,T20160001375,1,Dry,1
142761,T20160001376,2,Wet,0
142762,T20160001378,2,Wet,1
142763,T20160001383,2,Wet,0
142764,T20160001384,1,Dry,1
142765,T20160001385,1,Dry,1
142766,T20160001387,2,Wet,1
142767,T20160001389,1,Dry,1
142768,T20160001391,1,Dry,1
142769,T20160001393,1,Dry,1
142770,T20160001394,1,Dry,0
142771,T20160001395,1,Dry,1
142772,T20160001396,1,Dry,1
142773,T20160001397,1,Dry,1
142774,T20160001398,1,Dry,1
142775,T20160001399,2,Wet,1
142776,T20160001402,1,Dry,1
142777,T20160001405,1,Dry,1
142779,T20160001408,1,Dry,1
142781,T20160001411,9,Unknown,0
142782,T20160001412,2,Wet,0
142784,T20160001414,1,Dry,1
142785,T20160001415,9,Unknown,1
142786,T20160001417,1,Dry,1
142787,T20160001418,1,Dry,0
142788,T20160001421,1,Dry,1
142789,T20160001423,1,Dry,1
142790,T20160001424,1,Dry,1
142791,T20160001426,1,Dry,1
142792,T20160001427,2,Wet,1
142794,T20160001429,1,Dry,0
142795,T20160001430,1,Dry,1
142796,T20160001431,1,Dry,1
142797,T20160001432,1,Dry,1
142798,T20160001433,1,Dry,1
142799,T20160001436,1,Dry,1
142801,T20160001440,1,Dry,1
142802,T20160001443,1,Dry,0
142803,T20160001444,1,Dry,1
142804,T20160001445,2,Wet,1
142805,T20160001446,1,Dry,1
142807,T20160001449,1,Dry,1
142808,T20160001451,1,Dry,0
142809,T20160001452,1,Dry,1
142810,T20160001455,1,Dry,1
142811,T20160001456,1,Dry,1
142812,T20160001457,1,Dry,1
142813,T20160001459,1,Dry,1
142814,T20160001460,1,Dry,1
142815,T20160001461,1,Dry,0
142816,T20160001462,2,Wet,0
142817,T20160001464,2,Wet,1
142818,T20160001465,2,Wet,1
142819,T20160001469,2,Wet,1
142821,T20160001471,2,Wet,1
142822,T20160001473,2,Wet,0
142823,T20160001474,2,Wet,1
142824,T20160001476,1,Dry,1
142825,T20160001477,2,Wet,1
142826,T20160001478,2,Wet,1
142827,T20160001479,2,Wet,0
142828,T20160001480,2,Wet,1
142829,T20160001482,2,Wet,1
142830,T20160001485,2,Wet,1
142831,T20160001486,1,Dry,0
142832,T20160001489,1,Dry,0
142833,T20160001491,2,Wet,1
142834,T20160001492,2,Wet,1
142835,T20160001493,2,Wet,1
142836,T20160001493,3,Muddy,2
142837,T20160001494,1,Dry,0
142838,T20160001497,1,Dry,1
142839,T20160001498,2,Wet,1
142840,T20160001499,1,Dry,1
142841,T20160001501,2,Wet,1
142842,T20160001502,1,Dry,1
142843,T20160001503,2,Wet,1
142844,T20160001505,2,Wet,0
142846,T20160001508,2,Wet,0
142848,T20160001511,2,Wet,0
142849,T20160001513,9,Unknown,1
142850,T20160001514,1,Dry,1
142851,T20160001515,1,Dry,1
142852,T20160001516,1,Dry,1
142853,T20160001517,1,Dry,1
142854,T20160001518,2,Wet,1
142855,T20160001520,1,Dry,0
142857,T20160001525,1,Dry,1
142858,T20160001526,2,Wet,1
142859,T20160001527,1,Dry,0
142860,T20160001531,1,Dry,0
142861,T20160001534,2,Wet,0
142862,T20160001539,1,Dry,1
142863,T20160001540,2,Wet,1
142864,T20160001541,2,Wet,1
142865,T20160001542,1,Dry,0
142866,T20160001544,2,Wet,1
142867,T20160001547,2,Wet,0
142868,T20160001548,1,Dry,1
142869,T20160001552,1,Dry,1
142870,T20160001561,1,Dry,1
142872,T20160001563,2,Wet,1
142873,T20160001564,2,Wet,1
142874,T20160001565,2,Wet,1
142875,T20160001566,2,Wet,1
142876,T20160001568,2,Wet,1
142878,T20160001571,1,Dry,1
142879,T20160001575,2,Wet,1
142880,T20160001576,2,Wet,0
142881,T20160001577,1,Dry,1
142882,T20160001580,1,Dry,1
142883,T20160001581,1,Dry,1
142884,T20160001582,1,Dry,1
142885,T20160001583,2,Wet,1
142886,T20160001584,1,Dry,1
142887,T20160001586,2,Wet,1
142888,T20160001588,1,Dry,1
142890,T20160001591,1,Dry,0
142891,T20160001595,2,Wet,1
142892,T20160001596,1,Dry,1
142893,T20160001597,1,Dry,1
142894,T20160001598,2,Wet,1
142895,T20160001599,1,Dry,0
142896,T20160001601,1,Dry,1
142897,T20160001602,1,Dry,1
142898,T20160001603,1,Dry,1
142899,T20160001605,1,Dry,1
142900,T20160001607,1,Dry,1
142901,T20160001611,1,Dry,1
142902,T20160001613,1,Dry,0
142903,T20160001614,1,Dry,1
142904,T20160001615,1,Dry,1
142905,T20160001619,1,Dry,1
142906,T20160001620,1,Dry,1
142907,T20160001621,2,Wet,1
142908,T20160001622,1,Dry,0
142910,T20160001627,1,Dry,1
142912,T20160001630,2,Wet,1
142913,T20160001631,1,Dry,1
142914,T20160001632,1,Dry,1
142915,T20160001634,1,Dry,1
142916,T20160001636,1,Dry,0
142917,T20160001637,2,Wet,1
142918,T20160001638,1,Dry,1
142919,T20160001639,1,Dry,1
142920,T20160001642,1,Dry,1
142921,T20160001645,1,Dry,1
142923,T20160001647,1,Dry,1
142924,T20160001648,1,Dry,0
142925,T20160001650,1,Dry,0
142926,T20160001651,1,Dry,0
142927,T20160001653,1,Dry,1
142928,T20160001654,2,Wet,1
142929,T20160001656,1,Dry,1
142930,T20160001659,1,Dry,1
142931,T20160001660,1,Dry,0
142932,T20160001661,1,Dry,1
142933,T20160001662,1,Dry,0
142934,T20160001663,1,Dry,1
142935,T20160001667,2,Wet,1
142936,T20160001668,1,Dry,1
142937,T20160001670,1,Dry,1
142939,T20160001677,1,Dry,0
142940,T20160001679,1,Dry,1
142941,T20160001680,1,Dry,1
142942,T20160001683,1,Dry,0
142943,T20160001684,1,Dry,1
142944,T20160001685,1,Dry,1
142945,T20160001687,1,Dry,0
142946,T20160001689,1,Dry,1
142947,T20160001690,1,Dry,1
142948,T20160001691,2,Wet,1
142949,T20160001692,1,Dry,1
142951,T20160001695,1,Dry,1
142953,T20160001699,1,Dry,1
142954,T20160001701,9,Unknown,1
142955,T20160001702,1,Dry,1
