,ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
159603,T20170002872,1,Dry,1
159604,T20170002873,2,Wet,0
159605,T20170002874,1,Dry,1
159606,T20170002875,9,Unknown,0
159607,T20170002876,2,Wet,1
159608,T20170002879,2,Wet,0
159609,T20170002880,1,Dry,1
159610,T20170002881,1,Dry,1
159611,T20170002883,1,Dry,1
159612,T20170002884,1,Dry,1
159613,T20170002885,1,Dry,1
159614,T20170002886,2,Wet,1
159615,T20170002887,1,Dry,1
159616,T20170002889,1,Dry,0
159617,T20170002890,1,Dry,0
159618,T20170002891,1,Dry,1
159619,T20170002892,1,Dry,0
159620,T20170002894,1,Dry,1
159621,T20170002895,1,Dry,1
159622,T20170002899,1,Dry,1
159623,T20170002903,1,Dry,0
159624,T20170002904,1,Dry,1
159626,T20170002907,1,Dry,1
159627,T20170002909,1,Dry,0
159628,T20170002914,1,Dry,1
159629,T20170002915,1,Dry,1
159630,T20170002917,2,Wet,1
159631,T20170002919,1,Dry,1
159632,T20170002923,1,Dry,1
159633,T20170002924,1,Dry,1
159634,T20170002926,1,Dry,1
159635,T20170002927,9,Unknown,0
159636,T20170002929,1,Dry,0
159637,T20170002930,1,Dry,1
159638,T20170002932,9,Unknown,1
159639,T20170002933,1,Dry,1
159640,T20170002934,1,Dry,1
159641,T20170002938,1,Dry,1
159642,T20170002939,1,Dry,1
159643,T20170002940,1,Dry,1
159644,T20170002941,1,Dry,1
159645,T20170002943,1,Dry,1
159646,T20170002945,1,Dry,1
159647,T20170002946,1,Dry,1
159648,T20170002952,1,Dry,1
159649,T20170002953,1,Dry,1
159650,T20170002956,9,Unknown,1
159651,T20170002958,1,Dry,1
159652,T20170002959,1,Dry,1
159653,T20170002961,2,Wet,1
159654,T20170002965,1,Dry,1
159655,T20170002966,1,Dry,1
159656,T20170002967,9,Unknown,1
159657,T20170002968,2,Wet,0
159658,T20170002969,9,Unknown,0
159659,T20170002970,1,Dry,0
159660,T20170002971,1,Dry,1
159661,T20170002973,1,Dry,1
159662,T20170002974,1,Dry,1
159663,T20170002976,1,Dry,1
159664,T20170002978,1,Dry,1
159665,T20170002979,9,Unknown,1
159666,T20170002980,1,Dry,1
159667,T20170002982,1,Dry,0
159668,T20170002983,1,Dry,0
159669,T20170002985,1,Dry,1
159670,T20170002986,1,Dry,1
159671,T20170002987,1,Dry,1
159672,T20170002990,1,Dry,1
159673,T20170002991,1,Dry,1
159674,T20170002992,1,Dry,0
159675,T20170002993,1,Dry,1
159676,T20170002994,1,Dry,1
159677,T20170002995,1,Dry,0
159678,T20170002996,1,Dry,1
159679,T20170002997,1,Dry,1
159680,T20170002998,1,Dry,1
159681,T20170003001,1,Dry,1
159682,T20170003004,1,Dry,1
159683,T20170003006,9,Unknown,1
159684,T20170003009,1,Dry,1
159685,T20170003012,1,Dry,1
159686,T20170003013,1,Dry,1
159687,T20170003015,1,Dry,1
159688,T20170003016,1,Dry,1
159689,T20170003017,1,Dry,1
159690,T20170003019,1,Dry,1
159691,T20170003020,1,Dry,1
159692,T20170003021,1,Dry,1
159693,T20170003022,1,Dry,1
159694,T20170003023,9,Unknown,1
159695,T20170003024,1,Dry,1
159696,T20170003026,1,Dry,1
159697,T20170003028,1,Dry,1
159698,T20170003030,1,Dry,0
159699,T20170003032,1,Dry,1
